"","x"
"1",7089.04443359375
"2",3158.6279296875
"3",8776.8916015625
"4",2236.8359375
"5",3837.27416992188
"6",3298.96459960938
"7",2551.2373046875
"8",7853.3984375
"9",18172.873046875
"10",18065.99609375
"11",4929.74072265625
"12",4835.53271484375
"13",16704.455078125
"14",7250.12646484375
"15",11082.685546875
"16",18018.533203125
"17",9119.2568359375
"18",18056.712890625
"19",6936.6279296875
"20",2494.76684570312
"21",7076.54931640625
"22",12032.3173828125
"23",7083.43408203125
"24",6145.3427734375
"25",8562.4169921875
"26",7803.6552734375
"27",2441.9638671875
"28",9455.658203125
"29",9499.044921875
"30",2515.27783203125
"31",5015.74072265625
"32",6755.00048828125
"33",8898.2900390625
"34",4774.5625
"35",9878.3291015625
"36",5610.10595703125
"37",4479.77587890625
"38",12374.6357421875
"39",4617.8076171875
"40",2513.97241210938
"41",3802.85913085938
"42",10841.7177734375
"43",2262.91674804688
"44",11872.517578125
"45",11568.3603515625
"46",12655.3583984375
"47",4094.82373046875
"48",19004.56640625
"49",13989.2001953125
"50",6512.619140625
"51",2454.64013671875
"52",2751.48510742188
"53",12624.3134765625
"54",3092.19311523438
"55",9548.2236328125
"56",4227.51611328125
"57",2732.46875
"58",5826.734375
"59",5383.27197265625
"60",8825.8681640625
"61",4962.22998046875
"62",11850.7109375
"63",2609.91870117188
"64",3128.9609375
"65",10514.3935546875
"66",16519.244140625
"67",8145.03271484375
"68",6414.67919921875
"69",5015.74072265625
"70",14370.216796875
"71",2077.70288085938
"72",9535.65234375
"73",5074.42822265625
"74",9146.228515625
"75",17973.712890625
"76",2508.70068359375
"77",6953.97607421875
"78",5324.45361328125
"79",10611.1953125
"80",5183.85205078125
"81",9699.0654296875
"82",19778.326171875
"83",4444.76318359375
"84",2852.603515625
"85",2724.85327148438
"86",5130.6376953125
"87",3429.76220703125
"88",5555.7548828125
"89",9885.0517578125
"90",5403.5478515625
"91",9844.1572265625
"92",6583.2236328125
"93",5729.03466796875
"94",2645.31787109375
"95",8910.740234375
"96",9142.6435546875
"97",15874.6650390625
"98",3700.09692382812
"99",19164.08203125
"100",20713.7109375
"101",13771.7578125
"102",5520.13525390625
"103",2173.94848632812
"104",5171.65771484375
"105",8686.7548828125
"106",23026.640625
"107",10270.783203125
"108",13052.65234375
"109",14208.17578125
"110",6834.65234375
"111",12867.8203125
"112",6156.6630859375
"113",8914.0771484375
"114",3609.79956054688
"115",2649.22924804688
"116",2288.9248046875
"117",12820.8310546875
"118",2855.06274414062
"119",7818.197265625
"120",6102.04443359375
"121",22289.60546875
"122",5221.99462890625
"123",10994.8896484375
"124",8073.51220703125
"125",2516.23876953125
"126",4367.07080078125
"127",12506.7548828125
"128",5809.28515625
"129",24041.005859375
"130",5718.6142578125
"131",3925.12084960938
"132",2852.603515625
"133",18373.060546875
"134",7023.6259765625
"135",4148.54345703125
