"","x"
"1",7665.25466472738
"2",10374.7088638862
"3",4042.43961391306
"4",6272.3835783145
"5",4114.38325800907
"6",3893.85485114938
"7",6811.1964544613
"8",4092.77643557188
"9",3479.43851994504
"10",3606.24311436401
"11",-134975.456951625
"12",5803.28962313711
"13",6538.14278424346
"14",3498.72524432304
"15",3839.72994386483
"16",5287.22389662505
"17",6684.92196926364
"18",3635.86384916286
"19",7449.89279180552
"20",5174.77106744614
"21",6429.77989833404
"22",6129.47486643546
"23",3737.03820907138
"24",5712.59656142348
"25",3701.60657871027
"26",3871.65736499113
"27",19036.4037479402
"28",5048.971677301
"29",13039.3176376461
"30",4140.06085561537
"31",7402.79322539458
"32",3948.55719762931
"33",10320.582647273
"34",6136.62281501769
"35",7865.81246707976
"36",8299.91834018968
"37",3350.48523650052
"38",4660.24176362946
"39",4762.92146376228
"40",3637.54245077485
"41",4163.19658949254
"42",3326.69494063604
"43",5342.32438026751
"44",5555.71604545454
"45",4282.27710233993
"46",7348.26775970005
"47",3699.48432831256
"48",4038.97522659762
"49",5801.42628621576
"50",5726.14211769627
"51",6705.23937983622
"52",3832.46399686662
"53",7413.64928080838
"54",7590.87783188882
"55",9423.88473876668
"56",3496.89655214981
"57",4116.24048063693
"58",12256.6047885484
"59",6681.83724560098
"60",4075.45554069655
"61",3941.01148130904
"62",5462.69428132201
"63",4683.0566105685
"64",4130.80317657411
"65",5758.83429017635
"66",8939.24075472986
"67",6053.50835172839
"68",3970.46718136024
"69",10826.3747252221
"70",3570.29031158641
"71",6351.81138722251
"72",9956.40867976549
"73",3764.24105045135
"74",20848.1389655311
"75",8165.23799938922
"76",5912.27770020102
"77",3766.73190990012
"78",5363.71679373419
"79",4366.42739527298
"80",5260.76986838894
"81",4353.46301704309
"82",4243.36698828144
"83",4566.94146079033
"84",3976.44787072655
"85",3925.78911192514
"86",4367.82922595848
"87",4990.52244579265
"88",4713.0542350752
"89",3968.74264357287
"90",8929.56655000398
"91",4919.82732193875
"92",4700.21089834699
"93",3778.93908131968
"94",5720.04616600435
"95",5580.17452914777
"96",4415.86047438152
"97",3525.43993210426
"98",3893.32075961395
"99",8384.01717043521
"100",4583.8516815291
"101",6358.10046743855
"102",7882.20344111368
"103",5028.35688656399
"104",-39696.9442495259
"105",3614.81081345252
"106",10409.8398805341
"107",29620.6412235251
"108",5534.00202867902
"109",3945.58279856671
"110",4064.93504409498
"111",13596.9032030587
