"","x"
"1",2763.519279
"2",6979.535903
"3",12887.43165
"4",7645.861827
"5",2813.692575
"6",8256.2978
"7",5380.898636
"8",7216.100311
"9",24127.50402
"10",7388.178085
"11",4738.992022
"12",8197.197078
"13",8798.797003
"14",8819.018934
"15",5384.431665
"16",7463.139377
"17",2566.867823
"18",3945.241604
"19",5710.333115
"20",8162.617053
"21",2872.051273
"22",3041.791561
"23",24127.50402
"24",2450.190996
"25",2392.10789
"26",5802.065978
"27",3946.372085
"28",5346.916576
"29",12902.56014
"30",3235.360468
"31",2454.58354
"32",18975.45611
"33",4715.321344
"34",5018.885233
"35",4932.916345
"36",5744.229745
"37",13891.73567
"38",7380.976717
"39",3090.034104
"40",2521.633095
"41",2652.061785
"42",2771.045031
"43",3939.00637
"44",12231.87968
"45",2443.665166
"46",12819.10289
"47",4468.510542
"48",5514.344018
"49",3343.875326
"50",2294.478927
"51",26199.5401416
"52",26199.5401416
"53",7983.431709
"54",4854.745666
"55",4293.997319
"56",7164.395543
"57",7619.5158
"58",3958.002823
"59",4499.493252
"60",4059.567414
"61",4458.113369
"62",8110.333139
"63",3339.764873
"64",24261.01777
"65",6613.973653
"66",2930.693543
"67",8672.194272
"68",11638.66926
"69",6846.150323
"70",11727.77648
"71",22643.83478
"72",2614.474305
"73",2451.752695
"74",6781.270203
"75",4974.801539
"76",8591.604933
"77",5592.161392
"78",8009.472833
"79",11318.08982
"80",26199.5401416
"81",8025.229358
"82",5780.182197
"83",4118.539113
"84",2523.07015
"85",6554.216396
"86",7703.397294
"87",5926.729379
"88",2683.470677
"89",2695.182419
"90",6047.02516
"91",13171.01282
"92",10656.88195
"93",2527.653796
"94",2672.095756
"95",5313.294035
"96",20946.19251
"97",8375.353929
"98",4801.661503
"99",5745.94334
"100",6066.115969
"101",8002.308333
"102",2393.915369
"103",4762.8179
"104",4330.38602
"105",9402.729769
"106",6966.694527
"107",7694.064293
"108",8717.561149
"109",5928.748528
"110",2452.977288
"111",6701.571657
"112",7556.24034
"113",8492.6988
"114",7713.494046
"115",24084.5352
"116",7290.069769
"117",4772.943848
"118",6806.491395
"119",2469.781334
"120",3103.923041
"121",2981.875575
"122",8902.737595
"123",5499.447223
"124",15023.59858
"125",2509.107875
"126",26199.5401416
"127",3133.503432
"128",3837.451863
"129",11790.49617
"130",7838.068321
"131",4305.808345
"132",5973.976904
"133",5670.442396
"134",4731.749346
"135",8026.379641
"136",4022.963529
"137",9618.310865
"138",2274.775451
"139",9552.926922
"140",10388.55323
"141",2470.121222
"142",5619.068508
"143",9047.119209
"144",6692.143668
"145",3731.504584
"146",3660.770258
"147",7928.829252
"148",5011.751577
"149",7988.258292
"150",3885.456401
"151",2659.337982
"152",8564.768226
"153",4885.162511
"154",9753.307106
"155",2946.153697
"156",2581.110945
"157",3517.385764
"158",9743.350113
"159",3873.647046
"160",7649.28199
"161",2287.59692
"162",4475.424592
"163",8714.922135
"164",2248.449633
"165",7416.197322
"166",7771.158973
"167",6968.3419
"168",4250.282624
"169",19776.56654
"170",21343.46599
"171",2413.139714
"172",15363.84716
"173",8456.961887
"174",2189.642522
"175",5780.182197
"176",4639.981638
"177",4465.335703
"178",5968.118877
"179",5097.763337
"180",4076.634665
"181",12252.60179
"182",16936.27147
"183",4892.435461
"184",9942.304791
"185",3735.838129
"186",13117.52215
"187",4574.524094
"188",5470.060561
"189",2978.84601
"190",6410.967544
"191",4479.023088
"192",2383.731879
"193",2764.493659
"194",7920.105377
"195",6889.097981
