"","State","Location.Code","Education","Gender","Coverage","EmploymentStatus","Income","Marital.Status","Monthly.Premium.Auto","No.Of.Open.Complaints","No.Of.Policies","Renew.Offer.Type","Vehicle.Class","Customer.Lifetime.Value","Vehicle.Size","Policy","Policy.Type","Sales.Channel","Total.Claims.Amount","Monthly.Since.Last.Claims","Months.Since.Policy.Inception","Response","predictedvalues"
"1","2","2","2","2","2","2",0,"1",94,0,8,"3","2",6979.535903,"2","6","2","1",1131.464935,13,42,"1",6656.6879015475
"2","5","2","2","1","1","2",0,"2",106,0,7,"1","3",7645.861827,"2","2","1","2",529.881344,18,65,"1",7729.4143448525
"3","1","1","2","1","1","1",43836,"1",73,0,1,"1","2",2813.692575,"2","4","2","1",138.130879,12,44,"1",2895.07818101333
"4","2","3","4","1","3","2",0,"1",101,0,4,"1","2",7216.100311,"2","3","1","1",363.02968,0,68,"1",7462.05430103333
"5","5","2","3","1","1","2",0,"1",67,0,3,"1","2",4738.992022,"3","6","2","1",482.4,23,5,"1",4736.3343754275
"6","4","1","2","2","1","1",24599,"2",64,1,2,"2","2",7463.139377,"2","2","1","3",42.920271,12,50,"1",10314.06444225
"7","5","2","1","2","3","1",66140,"2",101,0,3,"1","2",8162.617053,"3","2","1","2",484.8,11,21,"1",8098.08490673
"8","4","2","1","1","1","1",57749,"1",74,0,1,"1","1",2872.051273,"2","5","2","3",355.2,31,21,"1",2879.822157535
"9","3","2","2","2","1","2",0,"1",73,3,1,"1","2",2450.190996,"2","3","1","3",554.376763,4,44,"1",2569.13615814583
"10","2","2","3","1","1","1",23158,"2",63,1,1,"4","2",2454.58354,"3","5","2","2",322.294043,4,6,"1",2407.36289226083
"11","3","3","1","1","2","1",65999,"2",237,0,6,"2","5",18975.45611,"2","2","1","1",615.927769,1,14,"1",17966.6841380267
"12","1","2","2","1","1","1",54500,"2",63,0,6,"1","1",5018.885233,"3","2","1","1",302.4,28,17,"1",5005.99903394417
"13","5","2","2","1","3","1",42305,"2",117,0,2,"1","2",13891.73567,"3","6","2","1",561.6,10,62,"1",16588.382995145
"14","2","2","1","2","1","2",0,"2",62,0,1,"4","2",2294.478927,"2","5","2","3",313.023175,11,56,"1",2233.55968384
"15","3","1","1","2","1","1",36014,"2",69,3,2,"4","2",7983.431709,"2","7","3","3",173.956072,4,40,"1",11645.0687261517
"16","2","2","1","2","1","2",0,"2",101,0,1,"1","3",3958.002823,"3","5","2","2",484.8,29,12,"1",3724.707210385
"17","4","2","1","2","2","3",16969,"3",124,2,1,"1","3",4499.493252,"2","6","2","2",704.768111,34,47,"1",4770.0797048275
"18","2","2","2","2","1","2",0,"1",63,0,2,"3","2",6613.973653,"1","6","2","3",676.391482,21,28,"1",9791.70375613917
"19","4","2","3","2","1","1",22547,"3",112,0,3,"1","3",8672.194272,"2","3","1","1",537.6,7,60,"1",8666.52476207583
"20","2","3","1","2","2","1",61486,"2",97,0,2,"4","1",11638.66926,"3","6","2","3",465.258644,5,65,"1",15436.748849815
"21","4","2","2","2","2","2",0,"3",95,0,5,"1","1",6846.150323,"1","6","2","2",456,13,20,"2",6743.5313524875
"22","4","1","1","1","1","1",93011,"3",113,0,2,"4","3",22643.83478,"2","6","2","1",281.451042,17,12,"1",19174.050575283
"23","3","2","4","1","1","1",43072,"2",63,0,1,"2","2",2523.07015,"1","6","2","2",302.4,35,15,"1",2497.26359449333
"24","5","2","3","1","2","5",23091,"2",96,5,5,"1","2",5926.729379,"2","4","2","1",460.8,28,90,"2",6131.81674197667
"25","5","3","2","2","1","1",48269,"2",69,3,1,"3","2",2683.470677,"2","2","1","4",282.151207,3,79,"1",2721.597257885
"26","4","2","2","2","1","1",32720,"3",67,0,1,"3","2",2695.182419,"2","5","2","3",321.6,13,12,"1",2626.06880215667
"27","2","1","4","2","1","4",17780,"2",109,0,9,"1","3",8375.353929,"2","6","2","3",132.588288,12,18,"1",8428.26291118667
"28","5","2","3","1","3","1",60475,"2",107,0,1,"2","2",4330.38602,"2","6","2","3",513.6,9,18,"2",4295.46815556583
"29","4","1","2","2","2","1",41837,"2",88,0,9,"1","2",6966.694527,"3","6","2","2",142.062768,29,93,"1",7127.60871878083
"30","5","1","2","2","1","1",32303,"2",65,0,2,"3","2",7694.064293,"2","4","2","3",45.152521,13,34,"1",10592.1375166708
"31","5","2","3","1","2","1",56398,"2",85,0,7,"4","2",6701.571657,"3","6","2","1",408,4,18,"1",7010.54791553666
"32","4","2","2","1","1","1",45506,"1",66,2,2,"1","2",7713.494046,"2","6","2","1",316.8,16,32,"1",15104.425141405
"33","2","2","1","1","2","1",37839,"2",86,0,9,"2","1",6806.491395,"2","6","2","3",465.633954,35,77,"1",7072.20443728667
"34","4","2","3","1","3","1",42780,"3",113,1,2,"1","2",26199.5401416,"2","5","2","2",542.4,10,27,"1",15134.772338801
"35","3","1","2","2","1","1",41611,"2",74,0,8,"1","2",5973.976904,"2","8","3","3",113.801497,14,8,"1",5907.16417301167
"36","4","1","1","2","1","1",80536,"2",119,0,3,"1","6",9618.310865,"2","8","3","3",53.798708,5,83,"1",9402.21107636833
"37","1","2","3","2","1","2",0,"1",63,0,1,"2","2",2274.775451,"3","5","2","1",606.642452,2,5,"1",2346.40328540083
"38","4","3","3","2","2","1",97732,"2",79,0,2,"4","2",9552.926922,"2","6","2","3",289.9122,0,70,"1",14846.722817905
"39","4","2","1","2","2","2",0,"2",96,0,1,"1","2",3731.504584,"1","4","2","1",460.8,31,34,"2",3658.18620849583
"40","1","2","2","1","1","1",24495,"1",70,0,1,"4","2",2659.337982,"3","5","2","3",336,29,65,"1",2715.40903133833
"41","3","1","3","2","1","1",25141,"3",73,1,2,"3","2",8456.961887,"2","6","2","1",25.438063,12,4,"1",11170.2221915902
"42","3","2","3","2","1","2",0,"2",61,3,1,"3","2",2189.642522,"3","5","2","1",292.8,5,46,"1",2215.02592681833
"43","1","2","3","2","1","2",0,"1",74,0,7,"3","1",5097.763337,"2","6","2","4",532.8,3,95,"1",5041.438588245
"44","5","2","2","2","3","2",0,"2",115,1,2,"1","2",12252.60179,"2","5","2","1",552,12,17,"1",15166.6311241847
"45","5","3","2","2","2","1",64586,"1",76,0,1,"3","2",2978.84601,"2","4","2","3",206.837111,3,17,"1",3046.06940667167
"46","4","3","3","1","2","1",61709,"2",82,2,7,"3","2",6410.967544,"2","6","2","3",275.395894,5,41,"1",6518.0687189875
"47","5","2","2","1","1","1",61085,"2",70,1,1,"2","1",2764.493659,"2","6","2","3",336,27,34,"1",2779.91774257667
"48","2","2","1","2","1","2",0,"3",63,0,2,"1","2",6889.097981,"3","5","2","3",302.4,6,12,"1",8107.92223375167
"49","3","2","2","2","2","5",23904,"1",123,3,1,"1","3",4334.064096,"2","6","2","1",590.4,1,67,"2",4434.585254555
"50","5","2","3","1","1","2",0,"1",116,0,2,"1","3",12067.45599,"2","5","2","1",1284.093173,14,35,"1",16901.9729994527
"51","1","2","1","2","1","2",0,"3",112,0,3,"1","6",8007.399376,"2","6","2","4",537.6,12,93,"2",8026.83856206
"52","5","2","3","1","1","1",98473,"2",72,0,1,"2","2",2929.916512,"2","4","2","3",345.6,19,69,"1",2887.45489894333
"53","5","2","2","1","1","1",93870,"3",69,0,8,"1","2",5473.15987,"2","5","2","2",331.2,1,96,"1",5450.655838
"54","5","2","2","1","1","3",18174,"2",66,0,9,"1","2",4960.965384,"3","1","1","1",395.934815,8,16,"1",5005.3156824125
"55","1","3","3","1","2","1",66446,"3",136,0,3,"2","3",10747.03094,"1","1","1","3",639.464548,8,77,"1",10739.0504651333
