"","No.Of.Policies","Monthly.Premium.Auto","Income","Monthly.Since.Last.Claims","Total.Claims.Amount","Months.Since.Policy.Inception","Response","Gender","No.Of.Open.Complaints","Customer.Lifetime.Value"
"1",8,94,0,13,1131.464935,42,"No","F",0,6979.535903
"2",1,73,43836,12,138.130879,44,"No","M",0,2813.692575
"3",8,110,99845,23,528,25,"Yes","M",1,8819.018934
"4",1,67,25049,14,454.245098,7,"No","M",0,2566.867823
"5",1,101,28855,12,647.442031,59,"No","M",0,3945.241604
"6",1,79,13789,8,379.2,49,"No","F",0,3041.791561
"7",1,73,0,4,554.376763,44,"No","F",3,2450.190996
"8",3,72,97541,22,389.185006,1,"No","M",0,5802.065978
"9",2,111,86584,33,532.8,54,"No","F",2,12902.56014
"10",6,237,65999,1,615.927769,14,"No","M",0,18975.45611
"11",3,65,0,19,308.15089,56,"No","M",0,4715.321344
"12",6,63,54500,28,302.4,17,"No","M",0,5018.885233
"13",2,117,42305,10,561.6,62,"No","M",0,13891.73567
"14",8,91,65706,19,436.8,86,"No","F",0,7380.976717
"15",2,69,36014,4,173.956072,40,"No","F",3,7983.431709
"16",2,100,66525,0,104.331355,86,"No","F",0,24261.01777
"17",3,112,22547,7,537.6,60,"No","F",0,8672.194272
"18",2,97,61486,5,465.258644,65,"No","F",0,11638.66926
"19",5,95,0,13,456,20,"Yes","F",0,6846.150323
"20",1,64,26840,1,307.2,47,"No","M",2,2451.752695
"21",5,104,0,30,982.399613,3,"No","M",1,6781.270203
"22",2,77,0,20,25.807685,26,"No","F",0,8025.229358
"23",3,90,25222,28,475.623251,69,"No","F",0,6554.216396
"24",4,76,20396,15,364.8,60,"Yes","M",1,6047.02516
"25",9,109,17780,12,132.588288,18,"No","F",0,8375.353929
"26",3,107,0,3,513.6,65,"Yes","F",0,8002.308333
"27",1,70,0,24,425.266308,10,"Yes","M",0,2393.915369
"28",4,130,0,28,936,88,"No","F",0,9402.729769
"29",2,65,32303,13,45.152521,34,"No","F",0,7694.064293
"30",1,62,79898,5,271.606799,86,"No","M",1,2452.977288
"31",1,133,20993,35,638.4,90,"Yes","M",0,4772.943848
"32",9,86,37839,35,465.633954,77,"No","M",0,6806.491395
"33",9,112,46833,6,64.109663,3,"No","M",0,8902.737595
"34",1,118,69833,32,828.662719,99,"No","M",0,4731.749346
"35",3,119,80536,5,53.798708,83,"No","F",0,9618.310865
"36",1,140,50335,9,456.52385,54,"No","M",0,5619.068508
"37",1,92,64495,34,251.992083,30,"No","M",0,3660.770258
"38",2,72,0,7,345.6,75,"No","F",0,7928.829252
"39",4,67,28859,24,321.6,51,"No","F",3,5011.751577
"40",1,70,24495,29,336,65,"No","M",0,2659.337982
"41",1,105,28142,18,701.708239,50,"Yes","M",0,3873.647046
"42",2,64,52705,14,128.705563,8,"No","F",1,7649.28199
"43",1,63,24910,7,347.857619,63,"Yes","F",1,2248.449633
"44",2,77,0,15,554.4,12,"No","M",2,7416.197322
"45",2,69,0,33,496.8,61,"No","F",1,6968.3419
"46",2,73,25141,12,25.438063,4,"No","F",1,8456.961887
"47",1,104,29549,17,710.433775,51,"No","F",0,4076.634665
"48",2,115,0,12,552,17,"No","F",1,12252.60179
"49",2,85,67890,23,408,57,"No","M",0,9942.304791
"50",7,82,61709,5,275.395894,41,"No","M",2,6410.967544
"51",1,69,0,5,496.8,40,"No","F",0,2383.731879
"52",1,70,61085,27,336,34,"No","M",1,2764.493659
"53",2,67,89284,7,321.6,31,"No","F",3,7920.105377
"54",1,81,31686,11,430.994107,33,"No","F",0,3274.194616
"55",1,255,56855,12,1836,1,"No","M",0,9951.707743
"56",1,123,23904,1,590.4,67,"Yes","F",3,4334.064096
"57",1,72,64459,16,240.259479,64,"No","F",0,2924.976721
"58",3,70,77493,2,307.963291,35,"No","F",0,5610.96434
"59",9,72,50366,9,428.734656,5,"No","M",0,5645.396665
"60",9,114,21474,13,373.428187,72,"No","M",2,8668.611261
"61",9,66,18174,8,395.934815,16,"No","M",0,4960.965384
"62",2,67,46618,22,99.085943,77,"No","F",0,8119.829071
"63",1,91,0,2,436.8,8,"No","F",5,2376.533508
"64",1,86,16269,6,412.8,84,"No","M",0,3211.070017
"65",2,67,44320,13,321.6,79,"No","M",0,8044.73072
"66",2,70,63933,35,424.883448,98,"No","F",0,16706.11699
"67",3,106,21073,25,508.8,54,"Yes","F",1,7805.31287
"68",3,77,63243,21,364.240307,73,"No","M",0,6112.756868
"69",1,133,20993,35,638.4,90,"Yes","M",0,4772.943848
"70",2,84,37534,2,403.2,0,"No","M",2,13223.04379
"71",1,65,80210,30,20.543176,28,"No","F",0,2623.31543
"72",4,116,70435,0,67.881546,50,"No","F",0,9322.08512
"73",7,72,0,0,345.6,86,"No","M",0,4706.676993
"74",8,112,99002,33,537.6,75,"No","F",1,9027.867218
"75",8,225,35704,21,358.281562,35,"No","M",0,18042.47942
"76",1,64,70125,21,92.813396,77,"No","M",0,2540.407726
"77",8,101,0,16,727.2,88,"No","M",0,7035.534088
"78",8,68,70051,15,42.078345,69,"No","M",0,5395.831967
"79",3,132,60145,8,580.473259,28,"No","M",0,10272.6082
"80",6,67,25134,3,321.6,0,"Yes","F",0,5318.89664
"81",3,116,70602,8,481.339891,47,"No","F",0,9416.908485
"82",2,153,0,7,1101.6,75,"No","M",0,26199.5401416
"83",1,121,89642,11,86.320022,20,"No","F",4,4719.450052
"84",1,69,36650,2,56.60333,70,"Yes","F",1,2725.356404
"85",1,68,39035,15,244.564334,65,"No","F",0,2650.622781
"86",3,67,34476,23,5.3953,49,"No","M",1,5254.734278
"87",1,76,68205,35,99.382943,14,"No","M",0,3034.646997
"88",3,71,29664,1,340.8,69,"No","M",0,5385.853211
"89",2,79,47272,17,64.546877,17,"No","F",3,9422.567923
"90",4,69,78879,9,466.570791,67,"No","M",1,5509.895664
"91",2,69,0,21,331.2,86,"No","M",0,16313.68349
"92",3,74,47945,32,128.43823,39,"No","F",0,5960.581363
"93",3,72,23422,25,518.4,76,"No","F",0,5285.26816
"94",1,62,67282,29,297.6,27,"No","F",0,2487.729726
"95",3,111,41546,4,121.306839,47,"No","F",0,8709.845263
"96",8,114,33897,15,539.843003,67,"No","F",0,9080.639651
"97",2,116,59207,23,556.8,21,"Yes","F",0,13770.97618
"98",7,67,0,12,321.6,67,"No","F",5,3538.059456
"99",2,123,65989,4,115.545086,43,"No","F",1,19834.20115
"100",2,183,0,6,878.4,16,"No","M",0,20216.30883
"101",5,176,77094,25,444.470676,29,"No","M",0,13976.51925
"102",4,69,79189,6,331.2,97,"No","F",0,5595.835041
"103",1,62,0,5,297.6,31,"No","F",0,2294.303629
"104",4,74,0,34,532.8,51,"No","M",0,5110.680779
"105",3,127,0,3,804.811859,93,"No","M",0,9155.239699
"106",2,230,88220,28,151.528482,63,"No","M",0,26199.5401416
"107",3,129,58327,31,347.075948,5,"No","F",0,10364.34749
"108",2,66,25950,27,271.697529,1,"No","M",0,7851.901368
"109",7,177,65726,35,849.6,90,"No","M",0,14226.50485
"110",1,196,0,0,1337.063487,73,"No","M",2,6948.422239
"111",2,73,0,9,350.4,14,"No","F",0,8204.863191
"112",4,88,0,30,633.6,19,"No","M",0,6277.011679
"113",6,117,13129,15,700.901632,93,"No","M",0,8635.4035
"114",1,91,49080,14,25.299,68,"No","M",0,3585.884123
"115",1,74,29926,25,418.233667,34,"No","M",0,2756.941661
"116",1,70,12459,4,336,41,"No","M",0,2554.437138
"117",2,76,64620,24,364.8,32,"No","M",1,18073.93999
"118",1,61,83140,25,179.161843,70,"No","M",0,2430.506586
"119",3,111,0,32,607.4459,13,"No","M",0,7757.128146
"120",8,80,32390,20,91.417923,36,"No","M",0,6285.476868
"121",2,66,76358,25,86.461582,3,"Yes","M",0,23594.6802
"122",3,69,23105,15,331.2,21,"No","M",0,5426.863953
"123",1,276,55687,33,1324.8,91,"Yes","M",0,10963.95723
